Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,250
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.96768e-03,0,-0.8
-1.96764e-03,0,0
-1.96760e-03,0,0
-1.96756e-03,0,-0.8
-1.96752e-03,0,0
-1.96748e-03,0,0
-1.96744e-03,0,0
-1.96740e-03,0,0
-1.96736e-03,0,0
-1.96732e-03,0,0
-1.96728e-03,0,0
-1.96724e-03,0,0
-1.96720e-03,0,-0.8
-1.96716e-03,0,0
-1.96712e-03,0,0
-1.96708e-03,0,0
-1.96704e-03,0,0
-1.96700e-03,0,0
-1.96696e-03,0,0
-1.96692e-03,0,0
-1.96688e-03,0,0
-1.96684e-03,0,0
-1.96680e-03,0,0
-1.96676e-03,0,0
-1.96672e-03,0,0
-1.96668e-03,0,0
-1.96664e-03,0,0
-1.96660e-03,0,0
-1.96656e-03,0,0
-1.96652e-03,0,-0.8
-1.96648e-03,0,0
-1.96644e-03,0,0
-1.96640e-03,0,0
-1.96636e-03,0,0
-1.96632e-03,0,0
-1.96628e-03,0,0
-1.96624e-03,0,-0.8
-1.96620e-03,0,0
-1.96616e-03,0,0
-1.96612e-03,0,0
-1.96608e-03,0,0
-1.96604e-03,0,0
-1.96600e-03,0,0
-1.96596e-03,0,0
-1.96592e-03,0,0
-1.96588e-03,0,0
-1.96584e-03,0,0
-1.96580e-03,0,0
-1.96576e-03,0,0
-1.96572e-03,0,0
-1.96568e-03,0,0
-1.96564e-03,0,0
-1.96560e-03,0,-0.8
-1.96556e-03,0,0
-1.96552e-03,0,0
-1.96548e-03,0,0
-1.96544e-03,0,0
-1.96540e-03,0,0
-1.96536e-03,0,0
-1.96532e-03,0,-0.8
-1.96528e-03,0,0
-1.96524e-03,0,0
-1.96520e-03,0,0
-1.96516e-03,0,0
-1.96512e-03,0,0
-1.96508e-03,0,0
-1.96504e-03,0,0
-1.96500e-03,0,-0.8
-1.96496e-03,0,0
-1.96492e-03,0,0
-1.96488e-03,0,0
-1.96484e-03,0,0
-1.96480e-03,0,0
-1.96476e-03,0,0
-1.96472e-03,0,0
-1.96468e-03,0,0
-1.96464e-03,0,0
-1.96460e-03,0,0
-1.96456e-03,0,0
-1.96452e-03,0,0
-1.96448e-03,0,0
-1.96444e-03,0,0
-1.96440e-03,0,-0.8
-1.96436e-03,0,0
-1.96432e-03,0,0
-1.96428e-03,0,0
-1.96424e-03,0,0
-1.96420e-03,0,0
-1.96416e-03,0,0
-1.96412e-03,0,0
-1.96408e-03,0,0
-1.96404e-03,0,-0.8
-1.96400e-03,0,-0.8
-1.96396e-03,0,0
-1.96392e-03,0,0
-1.96388e-03,0,0
-1.96384e-03,0,0
-1.96380e-03,0,0
-1.96376e-03,0,0
-1.96372e-03,0.04,0
-1.96368e-03,0,0
-1.96364e-03,0,-0.8
-1.96360e-03,0,0
-1.96356e-03,0,0
-1.96352e-03,0,0
-1.96348e-03,0,0
-1.96344e-03,0,0
-1.96340e-03,0,0
-1.96336e-03,0,-0.8
-1.96332e-03,0,0
-1.96328e-03,0,0
-1.96324e-03,0,0
-1.96320e-03,0,-0.8
-1.96316e-03,0,0
-1.96312e-03,0,0
-1.96308e-03,0,0
-1.96304e-03,0,-0.8
-1.96300e-03,0,0
-1.96296e-03,0,0
-1.96292e-03,0,0
-1.96288e-03,0,0
-1.96284e-03,0,0
-1.96280e-03,0,0
-1.96276e-03,0,0
-1.96272e-03,0,0
-1.96268e-03,0,0
-1.96264e-03,0,0
-1.96260e-03,0,0
-1.96256e-03,0,0
-1.96252e-03,0,0
-1.96248e-03,0,0
-1.96244e-03,0,0
-1.96240e-03,0,0
-1.96236e-03,0,0
-1.96232e-03,0,0
-1.96228e-03,0,0
-1.96224e-03,0,-0.8
-1.96220e-03,0,0
-1.96216e-03,0.04,0
-1.96212e-03,-0.04,0
-1.96208e-03,0,0
-1.96204e-03,0,0
-1.96200e-03,0,0
-1.96196e-03,0,0
-1.96192e-03,0,0
-1.96188e-03,0,0
-1.96184e-03,0,0
-1.96180e-03,0,0
-1.96176e-03,0,0
